,time,scanner,advertiser,power,rssi
count,2320.0,2320.0,2320.0,2320.0,2320.0
mean,1645610030.435345,7.473402457974902e+18,7.131565301232607e+18,-7.0,-86.72413793103448
std,294.39522523710065,54283.70033429569,239667.65807972057,0.0,4.921787954513518
min,1645609547.0,7.473402457974956e+18,7.131565301232368e+18,-7.0,-102.0
25%,1645609797.0,7.473402457974956e+18,7.131565301232368e+18,-7.0,-90.0
50%,1645609976.0,7.473402457974956e+18,7.131565301232368e+18,-7.0,-87.0
75%,1645610273.25,7.473402457974956e+18,7.131565301232368e+18,-7.0,-84.0
max,1645610535.0,7.473402457974956e+18,7.131565301232368e+18,-7.0,-70.0
