,time,scanner,advertiser,power,rssi
count,454.0,454.0,454.0,454.0,454.0
mean,1645609742.0,7.131565301232387e+18,4.723377902654921e+18,-7.0,-92.13656387665198
std,138.62849173112573,19477.4627754174,51256.48098794052,0.0,4.390319734631005
min,1645609545.0,7.131565301232368e+18,4.723377902654972e+18,-7.0,-103.0
25%,1645609619.0,7.131565301232368e+18,4.723377902654972e+18,-7.0,-95.0
50%,1645609715.5,7.131565301232368e+18,4.723377902654972e+18,-7.0,-92.0
75%,1645609866.0,7.131565301232368e+18,4.723377902654972e+18,-7.0,-89.0
max,1645609992.0,7.131565301232368e+18,4.723377902654972e+18,-7.0,-80.0
