time,scanner,advertiser,power,rssi
2022-02-06T15:26:13Z,1718992394932994344,414089200665806602,-7,-67
2022-02-06T15:26:13Z,1718992394932994344,414089200665806602,-7,-64
2022-02-06T15:26:14Z,1718992394932994344,414089200665806602,-7,-65
2022-02-06T15:26:14Z,1718992394932994344,414089200665806602,-7,-63
2022-02-06T15:26:14Z,1718992394932994344,414089200665806602,-7,-64
2022-02-06T15:26:14Z,1718992394932994344,414089200665806602,-7,-65
2022-02-06T15:26:14Z,1718992394932994344,414089200665806602,-7,-66
2022-02-06T15:26:14Z,1718992394932994344,414089200665806602,-7,-66
2022-02-06T15:26:14Z,1718992394932994344,414089200665806602,-7,-67
2022-02-06T15:26:15Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:15Z,1718992394932994344,414089200665806602,-7,-66
2022-02-06T15:26:15Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:15Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:15Z,1718992394932994344,414089200665806602,-7,-67
2022-02-06T15:26:15Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:15Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:16Z,1718992394932994344,414089200665806602,-7,-67
2022-02-06T15:26:16Z,1718992394932994344,414089200665806602,-7,-67
2022-02-06T15:26:16Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:16Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:16Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:17Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:18Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:18Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:18Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:18Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:18Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:18Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:18Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:19Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:19Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:19Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:19Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:19Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:20Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:20Z,1718992394932994344,414089200665806602,-7,-69
