,time,scanner,advertiser,power,rssi
count,1128.0,1128.0,1128.0,1128.0,1128.0
mean,1645609705.6710992,4.723377902655024e+18,7.131565301232279e+18,-7.0,-91.3918439716312
std,114.47633550721054,52247.164339129784,89127.51563733905,0.0,5.0065445159142
min,1645609542.0,4.723377902654972e+18,7.131565301232368e+18,-7.0,-104.0
25%,1645609610.0,4.723377902654972e+18,7.131565301232368e+18,-7.0,-96.0
50%,1645609680.0,4.723377902654972e+18,7.131565301232368e+18,-7.0,-92.0
75%,1645609809.0,4.723377902654972e+18,7.131565301232368e+18,-7.0,-88.0
max,1645609993.0,4.723377902654972e+18,7.131565301232368e+18,-7.0,-76.0
