,time,scanner,advertiser,power,rssi
count,1182.0,1182.0,1182.0,1182.0,1182.0
mean,1645608538.5939085,8.809629864047708e+18,1.9676257665377645e+17,-7.0,-88.62182741116752
std,175.04376875213856,223326.4897396812,4481.896296381216,0.0,5.421751660603468
min,1645608277.0,8.809629864047485e+18,1.9676257665377197e+17,-7.0,-102.0
25%,1645608372.25,8.809629864047485e+18,1.9676257665377197e+17,-7.0,-92.0
50%,1645608517.0,8.809629864047485e+18,1.9676257665377197e+17,-7.0,-89.0
75%,1645608695.0,8.809629864047485e+18,1.9676257665377197e+17,-7.0,-85.0
max,1645608841.0,8.809629864047485e+18,1.9676257665377197e+17,-7.0,-74.0
