time,scanner,advertiser,power,rssi
2022-02-06T15:11:38Z,6121893215584981518,6111564016254648366,-11,-78
2022-02-06T15:11:41Z,6111564016254648366,6121893215584981518,-7,-68
2022-02-06T15:11:41Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:42Z,6111564016254648366,6121893215584981518,-7,-64
2022-02-06T15:11:42Z,6111564016254648366,6121893215584981518,-7,-63
2022-02-06T15:11:42Z,6111564016254648366,6121893215584981518,-7,-64
2022-02-06T15:11:42Z,6111564016254648366,6121893215584981518,-7,-64
2022-02-06T15:11:42Z,6111564016254648366,6121893215584981518,-7,-63
2022-02-06T15:11:42Z,6111564016254648366,6121893215584981518,-7,-63
2022-02-06T15:11:43Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:43Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:43Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:43Z,6111564016254648366,6121893215584981518,-7,-63
2022-02-06T15:11:43Z,6111564016254648366,6121893215584981518,-7,-65
2022-02-06T15:11:43Z,6111564016254648366,6121893215584981518,-7,-63
2022-02-06T15:11:44Z,6111564016254648366,6121893215584981518,-7,-65
2022-02-06T15:11:44Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:44Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:44Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:44Z,6111564016254648366,6121893215584981518,-7,-63
2022-02-06T15:11:45Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:45Z,6111564016254648366,6121893215584981518,-7,-63
2022-02-06T15:11:45Z,6111564016254648366,6121893215584981518,-7,-65
2022-02-06T15:11:45Z,6111564016254648366,6121893215584981518,-7,-66
2022-02-06T15:11:45Z,6111564016254648366,6121893215584981518,-7,-64
2022-02-06T15:11:45Z,6111564016254648366,6121893215584981518,-7,-64
2022-02-06T15:11:45Z,6111564016254648366,6121893215584981518,-7,-65
2022-02-06T15:11:46Z,6111564016254648366,6121893215584981518,-7,-65
2022-02-06T15:11:46Z,6111564016254648366,6121893215584981518,-7,-72
2022-02-06T15:11:46Z,6111564016254648366,6121893215584981518,-7,-73
2022-02-06T15:11:46Z,6111564016254648366,6121893215584981518,-7,-73
2022-02-06T15:11:47Z,6111564016254648366,6121893215584981518,-7,-72
