,time,scanner,advertiser,power,rssi
count,1231.0,1231.0,1231.0,1231.0,1231.0
mean,1645608655.551584,8.809629864047717e+18,7.019585581295279e+18,0.0,-63.31519090170593
std,169.24468377861828,232542.47185921433,131125.27047568033,0.0,9.223146295352693
min,1645608277.0,8.809629864047485e+18,7.019585581295148e+18,0.0,-95.0
25%,1645608635.0,8.809629864047485e+18,7.019585581295148e+18,0.0,-70.5
50%,1645608704.0,8.809629864047485e+18,7.019585581295148e+18,0.0,-60.0
75%,1645608770.0,8.809629864047485e+18,7.019585581295148e+18,0.0,-56.0
max,1645608843.0,8.809629864047485e+18,7.019585581295148e+18,0.0,-46.0
