,time,scanner,advertiser,power,rssi
count,417.0,417.0,417.0,417.0,417.0
mean,1645609784.2805755,7.131565301232372e+18,7.473402457974911e+18,-11.0,-93.70023980815348
std,145.35224268484419,4100.920121893847,45110.12134083232,0.0,3.7912887168694356
min,1645609547.0,7.131565301232368e+18,7.473402457974956e+18,-11.0,-102.0
25%,1645609645.0,7.131565301232368e+18,7.473402457974956e+18,-11.0,-96.0
50%,1645609793.0,7.131565301232368e+18,7.473402457974956e+18,-11.0,-94.0
75%,1645609932.0,7.131565301232368e+18,7.473402457974956e+18,-11.0,-91.0
max,1645609992.0,7.131565301232368e+18,7.473402457974956e+18,-11.0,-80.0
