,time,scanner,advertiser,power,rssi
count,778.0,778.0,778.0,778.0,778.0
mean,1645609642.7339332,4.723377902654984e+18,7.473402457974906e+18,-11.0,-90.2159383033419
std,52.03533009480516,12295.904793355334,50208.27790620095,0.0,6.201021459120409
min,1645609553.0,4.723377902654972e+18,7.473402457974956e+18,-11.0,-103.0
25%,1645609598.25,4.723377902654972e+18,7.473402457974956e+18,-11.0,-95.0
50%,1645609641.0,4.723377902654972e+18,7.473402457974956e+18,-11.0,-91.0
75%,1645609682.75,4.723377902654972e+18,7.473402457974956e+18,-11.0,-86.0
max,1645609739.0,4.723377902654972e+18,7.473402457974956e+18,-11.0,-71.0
