,time,scanner,advertiser,power,rssi
count,298.0,298.0,298.0,298.0,298.0
mean,1645608460.0604026,7.019585581295132e+18,6.980735383087365e+18,-7.0,-64.30536912751678
std,204.98487184675986,16411.55931300177,32823.11862600354,0.0,4.513060511798111
min,1645608261.0,7.019585581295148e+18,6.980735383087398e+18,-7.0,-87.0
25%,1645608301.25,7.019585581295148e+18,6.980735383087398e+18,-7.0,-65.0
50%,1645608325.0,7.019585581295148e+18,6.980735383087398e+18,-7.0,-64.0
75%,1645608611.75,7.019585581295148e+18,6.980735383087398e+18,-7.0,-61.0
max,1645608844.0,7.019585581295148e+18,6.980735383087398e+18,-7.0,-58.0
