,time,scanner,advertiser,power,rssi
count,1557.0,1557.0,1557.0,1557.0,1557.0
mean,1645610010.739242,7.473402457974903e+18,4.723377902655048e+18,-7.0,-85.34104046242774
std,349.75363908640213,53265.107791606075,75800.34570343941,0.0,7.428576255867326
min,1645609551.0,7.473402457974956e+18,4.723377902654972e+18,-7.0,-103.0
25%,1645609652.0,7.473402457974956e+18,4.723377902654972e+18,-7.0,-91.0
50%,1645610135.0,7.473402457974956e+18,4.723377902654972e+18,-7.0,-86.0
75%,1645610362.0,7.473402457974956e+18,4.723377902654972e+18,-7.0,-80.0
max,1645610535.0,7.473402457974956e+18,4.723377902654972e+18,-7.0,-60.0
