,time,scanner,advertiser,power,rssi
count,1764.0,1764.0,1764.0,1764.0,1764.0
mean,1645608564.1621315,8.809629864047783e+18,6.980735383087319e+18,-7.0,-80.4546485260771
std,179.42873935718677,298068.4985129702,78870.35871305397,0.0,8.44935436997859
min,1645608277.0,8.809629864047485e+18,6.980735383087398e+18,-7.0,-99.0
25%,1645608403.0,8.809629864047485e+18,6.980735383087398e+18,-7.0,-87.0
50%,1645608522.0,8.809629864047485e+18,6.980735383087398e+18,-7.0,-80.0
75%,1645608727.0,8.809629864047485e+18,6.980735383087398e+18,-7.0,-76.0
max,1645608896.0,8.809629864047485e+18,6.980735383087398e+18,-7.0,-56.0
