,time,scanner,advertiser,power,rssi
count,218.0,218.0,218.0,218.0,218.0
mean,1645608438.1559634,7.019585581295152e+18,8.809629864047473e+18,-11.0,-80.38990825688073
std,176.96536536936247,4105.426939971896,12316.280819915688,0.0,5.950586772819397
min,1645608293.0,7.019585581295148e+18,8.809629864047485e+18,-11.0,-95.0
25%,1645608308.0,7.019585581295148e+18,8.809629864047485e+18,-11.0,-84.0
50%,1645608324.0,7.019585581295148e+18,8.809629864047485e+18,-11.0,-80.0
75%,1645608605.0,7.019585581295148e+18,8.809629864047485e+18,-11.0,-75.25
max,1645608842.0,7.019585581295148e+18,8.809629864047485e+18,-11.0,-68.0
