,time,scanner,advertiser,power,rssi
count,251.0,251.0,251.0,251.0,251.0
mean,1645608442.7330678,7.019585581295142e+18,1.9676257665377133e+17,-7.0,-77.7808764940239
std,183.97298840360085,6156.275736514732,641.2787225536179,0.0,5.518314310428978
min,1645608261.0,7.019585581295148e+18,1.9676257665377197e+17,-7.0,-94.0
25%,1645608302.5,7.019585581295148e+18,1.9676257665377197e+17,-7.0,-81.0
50%,1645608324.0,7.019585581295148e+18,1.9676257665377197e+17,-7.0,-78.0
75%,1645608607.5,7.019585581295148e+18,1.9676257665377197e+17,-7.0,-75.0
max,1645608840.0,7.019585581295148e+18,1.9676257665377197e+17,-7.0,-59.0
